timestamp,x,y,z
1734257508400,-0.004340534,0.230425,0.7579112
1734257508467,-0.004070099,0.2312284,0.7594218
1734257508534,-0.003423445,0.2314051,0.7591203
1734257508601,-0.003824237,0.232058,0.7587833
1734257508667,-0.004214083,0.2329034,0.7585019
1734257508734,-0.003584788,0.2317636,0.7589083
1734257508768,-0.004058027,0.2331188,0.7583602
1734257508835,-0.004521074,0.2316746,0.7591305
1734257508902,-0.003079189,0.2315857,0.7589477
1734257508969,-0.004069358,0.2305005,0.758148
1734257509002,-0.004449358,0.2302555,0.7584107
1734257509069,-0.00277619,0.2298801,0.7590268
1734257509136,-0.004251301,0.2303379,0.7604054
1734257509169,-0.005890044,0.2317728,0.7607121
1734257509236,-0.004766035,0.2306391,0.7601635
1734257509303,-0.007387213,0.2319023,0.7597787
1734257509370,-0.005321437,0.2165184,0.7579943
1734257509403,-0.0043621,0.1839891,0.7603287
1734257509470,-0.001554508,0.08020349,0.7576371
1734257509537,0.0002748657,-0.06232911,0.7667863
1734257509571,0.001958605,-0.04624845,0.7646717
1734257509638,0.003704413,0.008345694,0.7642351
1734257509671,0.005865135,0.01980331,0.7653253
1734257509738,0.008682291,0.01705281,0.7675576
1734257509805,0.01225077,-0.02939133,0.7698043
1734257509872,0.01520367,-0.05887176,0.7674217
1734257509905,0.01558309,-0.04298183,0.7699386
1734257509972,0.01374062,-0.04544557,0.7705039
1734257510005,0.01346294,-0.06078262,0.7686213
1734257510072,0.01216061,-0.06021595,0.7686036
1734257510139,0.01118444,-0.06704961,0.7696837
1734257510206,0.00893617,-0.0639019,0.7716933
1734257510240,0.01051988,-0.06417889,0.7721532
1734257510307,0.01067086,-0.0644116,0.7728719
1734257510373,0.0103413,-0.06499292,0.7729956
1734257510440,0.01064082,-0.06437054,0.7726038
1734257510507,0.01040562,-0.06461288,0.7731425
1734257510574,0.01029911,-0.06464658,0.7734156
1734257510641,0.01049584,-0.06516204,0.7728101
1734257510674,0.009291504,-0.06467802,0.7729966
1734257510741,0.008976639,-0.06512484,0.7732599
1734257510808,0.01028775,-0.06461533,0.7733965
1734257510842,0.00937615,-0.06476863,0.7745129
1734257510909,0.01057113,-0.06475747,0.7734039
1734257510975,0.01051222,-0.06466828,0.7729067
1734257511042,0.01047456,-0.06495581,0.7734095
