timestamp,x,y,z
1734257575531,0.04642902,0.3941655,0.7615179
1734257575598,0.04656628,0.3949202,0.7592982
1734257575665,0.04639281,0.3949848,0.7578009
1734257575732,0.04816157,0.395754,0.7587314
1734257575765,0.04692028,0.3954429,0.7607092
1734257575832,0.04822914,0.3964908,0.7626199
1734257575866,0.04789431,0.3980322,0.7608241
1734257575932,0.04538759,0.3971907,0.761547
1734257575999,0.04546076,0.3670353,0.7692636
1734257576033,0.04608759,0.3332748,0.7724844
1734257576100,0.0574047,0.212389,0.7790281
1734257576167,0.05316021,0.06848711,0.7811435
1734257576234,0.05373648,0.1919985,0.7970125
1734257576267,0.05832836,0.2379206,0.7863914
1734257576334,0.05870514,0.3159649,0.780579
1734257576401,0.06017329,0.3482628,0.7881992
1734257576468,0.06530242,0.3426137,0.7858101
1734257576501,0.0670594,0.3201245,0.7850372
1734257576568,0.07447786,0.2332373,0.7902032
1734257576635,0.07509392,0.09502169,0.7830175
1734257576702,0.08017047,0.1510214,0.7866495
1734257576769,0.08231162,0.2434068,0.7861534
1734257576802,0.08042806,0.276037,0.7859593
1734257576869,0.08154097,0.3053523,0.7841616
1734257576936,0.0822627,0.2963825,0.7800133
1734257576969,0.08121478,0.2763487,0.7778062
1734257577036,0.08408654,0.1878273,0.7779721
1734257577103,0.08289313,0.0714016,0.7680752
1734257577170,0.08407938,0.170753,0.7644044
1734257577237,0.08238035,0.2386152,0.762256
1734257577270,0.08163108,0.2608129,0.7502398
1734257577337,0.07779254,0.2722068,0.7431538
1734257577404,0.07756713,0.235013,0.744872
1734257577471,0.07514521,0.144169,0.7300894
1734257577505,0.07375702,0.08426648,0.7309725
1734257577571,0.0721351,0.1414962,0.7256694
1734257577605,0.06835586,0.1808054,0.7215154
1734257577672,0.06648076,0.2307452,0.7197056
1734257577739,0.0627284,0.2396631,0.7083765
1734257577806,0.05897338,0.2072147,0.7032189
1734257577839,0.0569836,0.1705886,0.6992473
1734257577906,0.04970958,0.07081524,0.6978467
1734257577973,0.05105406,0.1475859,0.6980274
1734257578006,0.04907398,0.181419,0.6957456
1734257578073,0.04659696,0.217571,0.6964633
1734257578107,0.0444456,0.2178801,0.6985191
1734257578174,0.04093873,0.1900648,0.6980388
1734257578240,0.03602036,0.1115099,0.6948734
1734257578274,0.03309089,0.06887296,0.6999058
1734257578341,0.03300663,0.1473675,0.6989009
1734257578374,0.03133055,0.174274,0.707452
1734257578441,0.02699519,0.1992821,0.7113017
1734257578508,0.02490373,0.1830781,0.7172413
1734257578575,0.02003283,0.115219,0.7250407
1734257578642,0.01809514,0.09982352,0.7297131
1734257578675,0.01936342,0.1347688,0.7367892
1734257578742,0.01608775,0.1803417,0.7356226
1734257578809,0.01182565,0.1805637,0.742624
1734257578843,0.01093192,0.1656259,0.7421921
1734257578910,0.007717767,0.09439198,0.7509966
1734257578976,0.004032121,0.1113215,0.7565786
1734257579010,0.008182022,0.1432932,0.7586676
